scenario,algo,planner_mode,model,episodes,success_rate,success_ci95_low,success_ci95_high,strict_valid_rate,strict_ci95_low,strict_ci95_high,parse_ok_rate,repair_rate,collision_rate,timeout_rate,invalid_route_rate,mean_steps,mean_route_distance,mean_route_turns,mean_semantic_cost,mean_route_score,mean_node_retention,mean_edit_distance,mean_step_parse_ok,mean_step_count,raw_execution_rate,missing_edge_rate,missing_goal_rate,semantic_violation_rate,llm_error_rate
semantic_constraint,ppo,language_to_cost,google/gemma-3-1b,250,0.764,0.7076152006750633,0.8123941279771356,0.516,0.4542790313566007,0.5772366855314113,0.668,0.0,0.1,0.136,0.0,536.34,18.627348122952682,3.072,0.11088856045794196,30.408631749231677,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.464,0.0
semantic_constraint,ppo,language_to_cost,google/gemma-4-12b,250,0.86,0.8115192932332553,0.8975843367470158,0.0,0.0,0.015133847249623387,0.0,0.0,0.04,0.1,0.0,523.4,17.636139772657323,1.92,0.16811311425363248,31.538349845666765,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.98,0.0
semantic_constraint,ppo,language_to_cost,google/gemma-4-e4b,250,0.86,0.8115192932332553,0.8975843367470158,0.0,0.0,0.015133847249623387,0.0,0.0,0.04,0.1,0.0,523.4,17.636139772657323,1.92,0.16811311425363248,31.538349845666765,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.98,0.0
semantic_constraint,ppo,language_to_cost,qwen/qwen3-1.7b,250,0.86,0.8115192932332553,0.8975843367470158,0.0,0.0,0.015133847249623387,0.0,0.0,0.04,0.1,0.0,523.4,17.636139772657323,1.92,0.16811311425363248,31.538349845666765,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.98,0.0
semantic_constraint,ppo,language_to_cost,qwenpaw-flash-9b,250,0.84,0.7894621432010622,0.8802468406691939,0.148,0.10931920870538417,0.1973350197583507,0.0,0.0,0.048,0.112,0.0,531.892,18.146229385804435,2.324,0.14848782506254052,31.702150389417522,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.832,0.0
semantic_constraint,ppo,route_option_rank,google/gemma-3-1b,250,0.86,0.8115192932332553,0.8975843367470158,0.0,0.0,0.015133847249623387,0.988,0.0,0.04,0.1,0.0,523.4,17.636139772657323,1.92,0.16811311425363248,31.538349845666765,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.98,0.0
semantic_constraint,ppo,route_option_rank,google/gemma-4-12b,250,0.816,0.7633102234972703,0.8591251850409677,0.248,0.19855073569865583,0.3050767233151544,0.0,0.0,0.06,0.124,0.0,539.5,18.84318771882595,2.5,0.13969309741540242,32.39566246897115,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.732,0.0
semantic_constraint,ppo,route_option_rank,google/gemma-4-e4b,250,0.816,0.7633102234972703,0.8591251850409677,0.156,0.11626512943648533,0.20614695747125555,0.0,0.0,0.072,0.112,0.0,529.196,18.19486212925226,2.36,0.15445095996800987,31.07620211780979,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.824,0.0
semantic_constraint,ppo,route_option_rank,qwen/qwen3-1.7b,250,0.824,0.7719923442315464,0.8662009227506975,0.188,0.14442509786439153,0.24101842281937344,0.0,0.0,0.052,0.124,0.0,539.416,18.690416930923636,2.436,0.1436365481782401,32.396993271140225,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.792,0.0
semantic_constraint,ppo,route_option_rank,qwenpaw-flash-9b,250,0.748,0.6907047090119511,0.7977889027522356,0.368,0.3106363981848008,0.4293589374890997,0.008,0.0,0.1,0.152,0.0,536.78,18.767319294475136,2.784,0.12557565616463695,31.467410990091487,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.612,0.0
